SAVT	-43.209722	-65.283333
SAZS	-41.151111	-71.157500
SAZN	-38.948889	-68.155556
SAZB	-38.724722	-62.169167
SAZM	-37.934167	-57.573611
SAZT	-37.233333	-59.229167
SAZR	-36.591667	-64.276389
SAAJ	-34.545833	-60.930556
SAEZ	-34.822222	-58.535833
SAOR	-33.725000	-65.377778
SAAR	-32.903611	-60.784444
SAAP	-31.794444	-60.480278
SACO	-31.310000	-64.208333
SAME	-32.831667	-68.792778
SANU	-31.572222	-68.418056
SANL	-29.380556	-66.795833
SANT	-26.840833	-65.104722
SATR	-29.210278	-59.683333
SARE	-27.450000	-59.056111
SARP	-27.386111	-55.970556
SANC	-28.593056	-65.750833
SANR	-27.497222	-64.936111
SANE	-27.766667	-64.309722
SASA	-24.844444	-65.478611
SASJ	-24.388889	-65.100000
SASQ	-22.162500	-65.571944
SAST	-22.619444	-63.793333
SARF	-26.212500	-58.227778
SANW	-29.871889	-61.927028
SARI	-25.736111	-54.473611
SATI	-26.250000	-53.629417
SATG	-29.106944	-59.219444
SATM	-29.220833	-58.087500
SARL	-29.689722	-57.151389
SARM	-30.272222	-57.639167
SARS	-26.755556	-60.493056
SARC	-27.449167	-58.758611
SATK	-24.720833	-60.548889
SAMM	-35.493333	-69.574167
SAHC	-37.444447	-70.222223
SAOC	-33.086111	-64.261389
SAOS	-32.384722	-65.186111
SAVV	-40.869444	-63.000000
SAVN	-40.751389	-65.034722
SAVC	-45.785278	-67.465556
SAWD	-47.735556	-65.904167
SAWJ	-49.306944	-67.802778
SAWG	-51.608889	-69.312500
SAWE	-53.777778	-67.754167
SAWH	-54.843333	-68.294444
SAWT	-51.600413	-72.221872
SAWC	-50.280250	-72.053194
SAWR	-48.782778	-70.150000
SAWP	-46.537500	-70.979167
SAVE	-42.906722	-71.146667
SAOM	-32.683333	-62.155556
